X,Y,OBJECTID,SchoolCode,OrganizationId,SchoolName,Label,ESDCode,ESDNum,ESDName,LEACode,LEAName,LowestGrade,HighestGrade,LowGrade_Int,HighGrade_Int,OrgCategoryList,AYPCode,AYPCodeDescription,GradeCategory,PhysicalAddress,MailingAddress,PrincipalName,Email,Phone,Latitude,Longitude,County,CongressionalDistrict,LegislativeDistrict
1230265.487,869338.0177,5339,5958,104877,Washington Network for Innovative Careers Skill Center,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,9,12,9,12," Public School, Vocational/technical school",V,Vocational/Technical Skills Center,High School,"WaNIC 16250 NE 74th Street, Redmond, Washington, 98052","PO Box 97039, Redmond, Washington, 98073-9739",Karen  Hay,khay@lwsd.org,425.739.8400,47.705189,-122.165719,King,1,45
1293351.201,848798.1772,5440,1756,101403,CLIP,,17801,121,Puget Sound Educational Service District 121,17407,Riverview School District,9,12,9,12," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,High School,"32302 NE 50th Street, Carnation, Washington, 98014","32302 NE 50th Street, Carnation, Washington, 98014",John  Bomar,bomarj@rsd407.org,425.844.4960,47.65226631,-121.908086,King,1,5
1293402.886,848779.2648,5441,1854,101404,PARADE,,17801,121,Puget Sound Educational Service District 121,17407,Riverview School District,PK,12,-1,12," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,PK-12,"32302 NE 50th St  , Carnation, Washington, 98014-6332","32302 NE 50th St  , Carnation, Washington, 98014-6332",John  Bomar,bomarj@rsd407.org,425.844.4960,47.652217,-121.907875,King,1,5
1428250.805,867656.2425,5458,2512,101349,Skykomish Elementary School,,17801,121,Puget Sound Educational Service District 121,17404,Skykomish School District,PK,8,-1,8," Public School, Regular School",P,Public School,Other,"105 6th St. N, Skykomish, Washington, 98288-0325","P.O. Box 325, Skykomish, Washington, 98288-0325",Thomas  Jay,tjay@skykomish.wednet.edu,360.677.2623,47.709274,-121.361681,King,1,39
1213896.107,875063.54,5516,1800,101519,Environmental & Adventure School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,6,8,6,8," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,Middle School,"8040 NE 132nd, Kirkland, Washington, 98034-2522","8040 NE 132nd, Kirkland, Washington, 98034-2522",  ,,,47.719913,-122.232688,King,1,1
1255845.844,855097.4717,5531,4148,101556,Evergreen Middle School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"6900 208th AVE NE, Redmond, Washington, 98053-4715","6900 208th AVE NE, Redmond, Washington, 98053-4715",Kristian  Dahl,kdahl@lwsd.org,425.936.2320,47.667596,-122.060716,King,1,45
1213896.107,875063.54,5557,3590,101535,Finn Hill Middle School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"8040 NE 132nd ST, Kirkland, Washington, 98034-2522","8040 NE 132nd ST, Kirkland, Washington, 98034-2522",Jennifer  Cleaves,jcleaves@lwsd.org,425.936.2340,47.719913,-122.232688,King,1,1
1228066.549,853716.7228,5577,3591,101536,Franklin Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"12434 NE 60th, Kirkland, Washington, 98033-8722","12434 NE 60th, Kirkland, Washington, 98033-8722",Keith  Buechler,kbuechler@lwsd.org,425.936.2550,47.662251,-122.173301,King,1,48
1226086.175,876517.1464,5597,3675,101538,Frost Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"11801 NE 140th, Kirkland, Washington, 98034-2113","11801 NE 140th, Kirkland, Washington, 98034-2113",Toby  Brenner,tbrenner@lwsd.org,425.936.2560,47.72462,-122.183309,King,1,45
1237036.023,886225.7218,5737,4124,101650,Hollywood Hill Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"17110 148 AV NE, Woodinville, Washington, 98072-9053","17110 148 AV NE, Woodinville, Washington, 98072-9053",Amber  Pacquer,apacquer@nsd.org,425.408.4700,47.751858,-122.139656,King,1,45
1216646.602,882594.8645,5767,3492,101639,Inglemoor HS,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"15500 Simonds RD NE, Kenmore, Washington, 98028-4430","15500 Simonds RD NE, Kenmore, Washington, 98028-4430",Adam  Desautels,adesautels@nsd.org,425.408.7200,47.740717,-122.222186,King,1,46
1223747.878,854354.713,5770,1706,101518,International Community School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,6,12,6,12," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,Other,"11133 NE 65th ST, Kirkland, Washington, 98033-7116","11133 NE 65th ST, Kirkland, Washington, 98033-7116",Margaret  Kinney Krepel,mkinneykrepel@lwsd.org,425.936.2380,47.663747,-122.190876,King,1,48
1219706.202,874190.528,5805,2796,101525,Juanita Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"9635 NE 132nd, Kirkland, Washington, 98034-5910","9635 NE 132nd, Kirkland, Washington, 98034-5910",Dana  Stairs,dstairs@lwsd.org,425.936.2570,47.717868,-122.209016,King,1,1
1222233.707,873275.8428,5806,3771,101544,Juanita High,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"10601 NE 132ND, Kirkland, Washington, 98034-2872","10601 NE 132ND, Kirkland, Washington, 98034-2872",Kelly  Clapp,kclapp@lwsd.org,425.936.1600,47.715511,-122.198672,King,1,45
1230480.484,877465.6468,5815,3922,101548,Kamiakin Middle School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"14111 132ND AVE NE, Kirkland, Washington, 98034-1510","14111 132ND AVE NE, Kirkland, Washington, 98034-1510",Tim  Patterson,tpatterson@lwsd.org,425.936.2400,47.727475,-122.165543,King,1,45
1223071.165,876594.1406,5821,3704,101540,Keller Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"13820 - 108th NE, Kirkland, Washington, 98034-2016","13820 - 108th NE, Kirkland, Washington, 98034-2016",Sandra  Dennehy,sdennehy@lwsd.org,425.936.2580,47.724654,-122.195561,King,1,45
1211038.426,892625.9685,5826,2993,101627,Kenmore Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"19121 71 AV NE, Kenmore, Washington, 98028-2618","19121 71 AV NE, Kenmore, Washington, 98028-2618",Geetha  George-Shapiro,ggeorgeshapiro@nsd.org,425.408.4800,47.767868,-122.245872,King,1,46
1209003.635,895691.9292,5827,3345,101635,Kenmore Middle School,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"20323 66 AV NE, Kenmore, Washington, 98028-2052","20323 66 AV NE, Kenmore, Washington, 98028-2052",Bryan  Stutz,bstutz@nsd.org,425.408.6400,47.776146,-122.25442,King,1,46
1222730.969,862501.3056,5849,3941,101549,Kirk Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"1312 6th Street, Kirkland, Washington, 98033-5638","1312 6th Street, Kirkland, Washington, 98033-5638",Monica  Garcia,mogarcia@lwsd.org,425.936.2590,47.686013,-122.195712,King,1,48
1221575.006,864187.213,5850,2308,101523,Kirkland Middle School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"430 18th AVE, Kirkland, Washington, 98033-4935","430 18th AVE, Kirkland, Washington, 98033-4935",Nichol  Cassaro,ncassaro@lwsd.org,425.936.2420,47.690565,-122.200551,King,1,45
1261333.968,847371.0026,5895,4256,101558,Alcott Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"4213 - 228th AVE NE, Redmond, Washington, 98053-8333","4213 - 228th AVE NE, Redmond, Washington, 98053-8333",Jon  Hedin,jhedin@lwsd.org,425.936.2490,47.646716,-122.037838,King,1,45
1209362.807,881540.1291,5920,3107,101630,Arrowhead Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"6725 NE Arrowhead DR, Kenmore, Washington, 98028-4343","6725 NE Arrowhead DR, Kenmore, Washington, 98028-4343",Kristin  Bailey-Fogarty,kbailey@nsd.org,425.408.4000,47.737387,-122.251682,King,1,46
1245611.383,844243.1177,5930,3548,101533,Audubon Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"3045 180th NE, Redmond, Washington, 98052-5810","3045 180th NE, Redmond, Washington, 98052-5810",Kimo  Spray,jspray@lwsd.org,425.936.2500,47.637286,-122.101345,King,1,48
1251631.067,888669.6322,5951,4305,101653,Bear Creek Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"18101 Avondale RD NE, Woodinville, Washington, 98077-9183","18101 Avondale RD NE, Woodinville, Washington, 98077-9183",Stephanie  Penrod,spenrod@nsd.org,425.408.4100,47.759372,-122.080546,King,1,45
1223780.094,868219.3624,5954,3592,101537,Bell Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"11212 NE 112TH, Kirkland, Washington, 98033-4520","11212 NE 112TH, Kirkland, Washington, 98033-4520",  ,,,47.701745,-122.191952,King,1,45
1217552.67,889821.8924,5984,3106,101629,Bothell High School,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"9130 NE 180 ST, Bothell, Washington, 98011-3360","9130 NE 180 ST, Bothell, Washington, 98011-3360",Juan  Price,jprice@nsd.org,425.408.7000,47.760576,-122.219145,King,1,1
1292585.635,848559.6271,6033,2485,101405,Carnation Elementary School,,17801,121,Puget Sound Educational Service District 121,17407,Riverview School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"4950 Tolt Ave, Carnation, Washington, 98014-7608","4950 Tolt Ave, Carnation, Washington, 98014-7608",Chris  Lupo,lupoc@rsd407.org,425.844.4553,47.651575,-121.911174,King,1,5
1282972.5,879442.7481,6069,3524,101408,Cedarcrest High School,,17801,121,Puget Sound Educational Service District 121,17407,Riverview School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"29000 NE 150th St, Duvall, Washington, 98019-8519","29000 NE 150th St, Duvall, Washington, 98019-8519",Ray  LaBate,labater@rsd407.org,425.844.4800,47.735737,-121.952473,King,1,45
1275710.939,883762.7431,6109,3101,101407,Cherry Valley Elementary School,,17801,121,Puget Sound Educational Service District 121,17407,Riverview School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"26701 NE Cherry Valley Rd, Duvall, Washington, 98019-8618","26701 NE Cherry Valley Rd, Duvall, Washington, 98019-8618",Roxanne  Luchini,luchinir@rsd407.org,425.844.4750,47.747206,-121.982303,King,1,45
1218522.732,841387.7491,6126,3338,101371,Chinook Middle School,,17801,121,Puget Sound Educational Service District 121,17405,Bellevue School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"2001 98th Ave NE, Bellevue, Washington, 98004","2001 98th Ave NE, Bellevue, Washington, 98006",Kathy  Myers,myersk@bsd405.org,425.456.6300,47.62790159,-122.210932,King,1,48
1218345.691,842628.3913,6140,2847,101359,Clyde Hill Elementary,,17801,121,Puget Sound Educational Service District 121,17405,Bellevue School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"9601 NE 24th Street, Bellevue, Washington, 98004-2100","9601 NE 24th Street, Bellevue, Washington, 98004-2100",Edmund  Wong,Wonde@bsd405.org,425.456.5000,47.63129112,-122.211759,King,1,48
1251852.455,883395.3242,6169,3234,101631,Cottage Lake Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"15940 Avondale RD NE, Woodinville, Washington, 98077-9167","15940 Avondale RD NE, Woodinville, Washington, 98077-9167",Jennifer  Welch,jwelch@nsd.org,425.408.4200,47.74493,-122.079217,King,1,45
1256029.917,856004.939,6217,4018,101551,Dickinson Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"7040 - 208th NE, Redmond, Washington, 98053-4716","7040 - 208th NE, Redmond, Washington, 98053-4716",Barbara  Pridgeon,bapridgeon@lwsd.org,425.936.2530,47.670093,-122.060042,King,1,45
1283795.03,879128.7773,6238,3006,101406,Eagle Rock Multiage School,,17801,121,Puget Sound Educational Service District 121,17407,Riverview School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"29300 NE 150th St, Duvall, Washington, 98019-8523","29300 NE 150th St, Duvall, Washington, 98019-8523",Molly  Lutz,lutzm@rsd407.org,425.844.4900,47.734918,-121.949108,King,1,45
1260715.927,881855.8936,6246,4379,101658,East Ridge Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"22150 NE 156 PL, Woodinville, Washington, 98077-7489","22150 NE 156 PL, Woodinville, Washington, 98077-7489",Sarah  White,swhite@nsd.org,425.408.4400,47.741192,-122.043081,King,1,45
1242153.764,858269.7288,6334,2289,101522,Redmond Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"16800 NE 80th, Redmond, Washington, 98052-3942","16800 NE 80th, Redmond, Washington, 98052-3942",Kirsten  Gometz,kgometz@lwsd.org,425.936.2660,47.675534,-122.116531,King,1,48
1244644.415,865411.8913,6335,3528,101531,Redmond High,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"17272 NE 104th, Redmond, Washington, 98052-2813","17272 NE 104th, Redmond, Washington, 98052-2813",Jill  Vanderveer,jvanderveer@lwsd.org,425.936.1800,47.695247,-122.107015,King,1,45
1241464.675,864266.9632,6336,3232,101528,Redmond Middle School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"10055 166th AVE NE, Redmond, Washington, 98052-3010","10055 166th AVE NE, Redmond, Washington, 98052-3010",Dana  Greenberg,dgreenberg@lwsd.org,425.936.2440,47.691931,-122.119827,King,1,45
1240304.768,866992.4853,6374,4147,101555,Rockwell Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"11125 - 162nd AVE NE, Redmond, Washington, 98052-2676","11125 - 162nd AVE NE, Redmond, Washington, 98052-2676",Michael  Clark,miclark@lwsd.org,425.936.2670,47.699335,-122.124763,King,1,45
1262261.51,861302.2473,6386,5053,104205,Rosa Parks Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"22845 NE Cedar Park Crescent, Redmond, Washington, 98053-5887","22845 NE Cedar Park Crescent, Redmond, Washington, 98053-5887",Melissa  Doering,mdoering@lwsd.org,425.936.2650,47.684946,-122.035176,King,1,45
1229645.906,858730.4588,6388,2992,101526,Rose Hill Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"8044 128th AVE NE, Kirkland, Washington, 98033-8023","8044 128th AVE NE, Kirkland, Washington, 98033-8023",Jennifer  Hodges,jhodges@lwsd.org,425.936.2680,47.676083,-122.167324,King,1,48
1231462.018,856673.9324,6389,3706,101541,Rose Hill Middle School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"13505 NE 75th, Redmond, Washington, 98052-4032","13505 NE 75th, Redmond, Washington, 98052-4032",Joseph  Gorder,jgorder@lwsd.org,425.936.2460,47.670552,-122.159779,King,1,48
1236560.074,853385.4823,6395,3703,101539,Rush Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"6101 152nd Ave NE, Redmond, Washington, 98052-4766","6101 152nd Ave NE, Redmond, Washington, 98052-4766",Lucy  Davies,ldavies@lwsd.org,425.936.2690,47.661832,-122.138817,King,1,48
1214414.261,873596.1834,6412,3747,101542,Sandburg Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"12801 - 84th Ave NE, Kirkland, Washington, 98034-2600","12801 - 84th Ave NE, Kirkland, Washington, 98034-2600",Erin  Bowser,ebowser@lwsd.org,425.936.2700,47.715923,-122.230453,King,1,1
1428111.987,867684.7575,6475,2513,101350,Skykomish High School,,17801,121,Puget Sound Educational Service District 121,17404,Skykomish School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"105 6th St. N, Skykomish, Washington, 98288-0325","P.O. Box 325, Skykomish, Washington, 98288-0325",Thomas  JaY,tjay@skykomish.wednet.edu,360.677.2623,47.709348,-121.362246,King,1,39
1216360.051,893670.784,6492,2493,101626,C O Sorenson,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,K,-1,0," Public School, Regular School",P,Public School,Elementary School,"19705 88 AV NE, Bothell, Washington, 98011-2121","19705 88 AV NE, Bothell, Washington, 98011-2121",Doreen  Milburn,dmilburn@nsd.org,425.408.5570,47.771052,-122.224334,King,1,1
1231462.018,856673.9324,6528,1975,103959,Stella Schola,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,6,8,6,8," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,Middle School,"13505 NE 75th Street, Redmond, Washington, 98052-4032","13505 NE 75th Street, Redmond, Washington, 98052-4032",Erin  Bowser,ebowser@lwsd.org,425.936.2460,47.670552,-122.159779,King,1,48
1293269.733,866432.9451,6540,4332,101410,Stillwater Elementary,,17801,121,Puget Sound Educational Service District 121,17407,Riverview School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"11530 320th Ave NE, Carnation, Washington, 98014-9792","11530 320th Ave NE, Carnation, Washington, 98014-9792",Jack  Madigan,madiganj@rsd407.org,425.844.4680,47.700594,-121.909695,King,1,5
1244543.32,877148.5742,6563,4187,101651,Sunrise Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"14075 172 AV NE, Redmond, Washington, 98052-2197","14075 172 AV NE, Redmond, Washington, 98052-2197",Steven  Hopkins,shopkins@nsd.org,425.408.5300,47.727406,-122.108397,King,1,45
1214549.476,876897.0902,6585,3490,101530,Thoreau Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"8224 NE 138th, Kirkland, Washington, 98034-5105","8224 NE 138th, Kirkland, Washington, 98034-5105",Heidi  Lindquist-Lane,hlindquistlane@lwsd.org,425.936.2720,47.724977,-122.230198,King,1,1
1258783.395,891068.4017,6595,4516,101660,Timbercrest Middle School,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"19115 215 WY NE, Woodinville, Washington, 98077-7191","19115 215 WY NE, Woodinville, Washington, 98077-7191",Kristi  Hannigan,khannigan@nsd.org,425.408.6900,47.766335,-122.051669,King,1,45
1291715.15,845290.3446,6601,4318,101409,Tolt Middle School,,17801,121,Puget Sound Educational Service District 121,17407,Riverview School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"3740 Tolt Ave, Carnation, Washington, 98014-7537","3740 Tolt Ave, Carnation, Washington, 98014-7537",Amie  Karkainen,karkinena@rsd407.org,425.844.4603,47.642572,-121.914467,King,1,5
1229222.362,862681.3692,6624,3441,101529,Twain Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"9525 130th Ave NE, Kirkland, Washington, 98033-5266","9525 130th Ave NE, Kirkland, Washington, 98033-5266",Craig  Mott,cmott@lwsd.org,425.936.2730,47.686886,-122.169382,King,1,48
